# ID|action 1|line frame 1|action 2|line frame 2|standalone request (inserted in both frames)
S162|I uncover an old diagram with suspiciously fresh ink.|As I forecast: the cupboard now has opinions. {ask}|I gesture casually to a conveniently vague prediction.|'A change in storage.' Quite explicit, really. {ask}|read the part where I predicted this sort of miracle.
S163|I add another candle before ending the ceremony.|The final candle needs a witness candle. {ask}|I begin tying a second ceremonial knot.|We can't finish until we bless the finishing. {ask}|hold the ribbon for the ceremony after the ceremony.
S164|I draw a crack around an ordinary typo.|Letters are falling out of reality. {ask}|I prop a wall up after one repeated sentence.|Time just skipped; the wall may be next. {ask}|help me secure this corner of the universe.
S165|I applaud the kettle as it floats away.|Finally, tea without table space! {ask}|I open the window for an impossible guest.|Wonderful, another limit retired. {ask}|help me find a use for our new floating furniture.
S166|I label a bowl 'dragon breakfast'.|Fine, a dragon. Dry food or wet? {ask}|I pencil feeding times onto the prophecy.|Eternal beings still need somebody on weekends. {ask}|take the first feeding shift for the invisible creature.
S167|I cover the third button with both hands.|Not the third one. That's what's holding Tuesday in place. {ask}|I move one ordinary pebble into a velvet box.|The larger stones don't matter. This one does. {ask}|keep this pebble level until the room stops humming.
S168|I trace a circle around matching coffee rings.|Three circles, three visitors. The universe is composing. {ask}|I echo a phrase while pointing to its shape.|Listen: the door squeaks the same rhythm. {ask}|follow the repeated sound to its next appearance.
S169|I move a new question to the bottom of the agenda.|We are still on item one. {ask}|I hand out numbered speaking slips.|Your interruption is item seven now. {ask}|finish introductions before discussing the emergency.
S170|I straighten the unsigned appointment notice.|The paper says acting director. That's enough for now. {ask}|I add an official heading to a shaky instruction.|A proper letterhead settles many questions. {ask}|follow this notice before asking who countersigned it.
S171|I align the form with the printed sample.|That tick is outside the approved box. {ask}|I replace one word with its exact official equivalent.|Results don't repair incorrect terminology. {ask}|copy the full phrase rather than abbreviating it.
S172|I explain the unlabelled chair with a discreet gesture.|Newcomers take the chair facing the clock. {ask}|I turn a mistaken greeting into an exception.|I can translate this custom for you. {ask}|follow my greeting until I explain why it matters.
S173|I point to a scarred old application form.|That rejection taught me which queue survives lunch. {ask}|I hold back a shortcut until after my cautionary tale.|I paid for this knowledge in three wasted Tuesdays. {ask}|use the door I learned about the hard way.
S174|I hold the final stamp above the paper.|Happy to help as soon as this is settled. {ask}|I put the release key beside the approval form.|Nothing complicated. Just my signature. {ask}|bring the complete request before I stamp it.
S175|I repeat the old greeting instead of the new one.|We learned it before they shortened it. {ask}|I set out the old seating chart.|Our places still make sense to me. {ask}|use the custom we both learned on our first day.
S176|I set your old exemption beside my new request.|I found you a way around the rule once. {ask}|I tap the exception I signed last winter.|This signature wasn't a gift to be forgotten. {ask}|make one exception for me this time.
S177|I rewrite a dense notice in plain language.|I'll translate the translation again. {ask}|I start filling the confusing form before being asked.|This is where everyone gets stuck. {ask}|bring me the pages nobody understands.
S178|I finish the form before the instructions are read.|That's how you skip two counters. {ask}|I mark the loophole in someone else's application.|I've found a shorter queue than yours. {ask}|compare how many signatures our methods need.
S179|I write your name under 'sponsor', then hesitate.|An introduction, not a lifetime label. {ask}|I accept the access badge but remove its nickname.|I'll take the help without becoming your project. {ask}|introduce me without telling them who I'm supposed to become.
S180|I put the old broken rule beside the new exemption.|This is what was supposedly unforgivable last time. {ask}|I hold the repaired ceremonial object carefully.|The repair didn't answer why it was broken. {ask}|explain why this exception is different from the old breach.
S181|I hide my instruction sheet after watching your easy greeting.|Some of us actually learn the rules. {ask}|I practise the polished handshake with excessive care.|I won't need an introduction next time. {ask}|watch me get through the formalities without help.
S182|I recite the old motto with a faltering smile.|I used to mean every word of that. {ask}|I polish an institutional badge I no longer wear.|A process this good ought to have worked. {ask}|show me one place the old promise still holds.
S183|I gather a form for asking which form to use.|I don't want to fail before I've started. {ask}|I request a receipt for my request for permission.|Then there'll be proof I tried correctly. {ask}|show me the exact box I am allowed to tick.
S184|I put a permission sheet beside the kettle.|Hot drinks require a simple safety checklist. {ask}|I add a witness line to a friendly invitation.|It's for everyone's protection. {ask}|sign that you understand the risks before pouring tea.
S185|I copy the ceremonial bow twice as deeply.|Was that enough to count me in? {ask}|I repeat the greeting after watching the others.|I can do the full version if needed. {ask}|tell me which step makes my membership official.
S186|I pause beside an obscure footnote.|Most people never notice subsection four. {ask}|I produce the rulebook before anyone asks.|You'll enjoy what the appendix says about this. {ask}|ask me why the third stamp has to be green.
S187|I set an empty ceremonial bowl in the middle.|We do it because it was done before us. {ask}|I repeat a pointless step with solemn patience.|The explanation isn't part of the tradition. {ask}|carry the bowl round once without asking what it holds.
S188|I stop the whole process over a blank initial.|One missing letter is how systems fail. {ask}|I add a second check to the checking sheet.|We nearly missed the missed step. {ask}|initial the initial-check before anything moves.
S189|I smile at the queue extending round the room.|Look how carefully everyone is being protected. {ask}|I applaud the arrival of another review form.|A safeguard we didn't even know we needed. {ask}|take a number and admire how orderly this is.
S190|I put the strange ceremonial instructions beside a calendar.|Fine, an annual moon audit. Which date? {ask}|I draw a responsibilities chart beneath the ritual.|Someone still has to unlock the room. {ask}|name who's responsible if the ceremony runs late.
S191|I add one tiny dot beneath the signature.|Now it exists officially. {ask}|I move a chair an inch to the right.|In that position the vote is valid. {ask}|put the date above the line, not beneath it.
S192|I connect the seating chart to the apology form.|Even where we sit is a policy decision. {ask}|I open a notebook headed 'Rules of Us'.|A habit repeated twice becomes doctrine. {ask}|initial the box confirming we're still on speaking terms.
S193|I put my medal on top of the new rules.|Winner gets to choose the next round. {ask}|I turn last round's score into a seating plan.|First place gets first say. {ask}|play the next round by the rules I just wrote.
S194|I hide the loss beneath a fresh challenge sheet.|That round was practice. This one decides everything. {ask}|I polish my trophy faster after a bad result.|There's still a reason to keep watching me. {ask}|give me another chance before taking my chair away.
S195|I measure the finish line with a ruler.|An inch can be the whole result. {ask}|I cross out an inflated score carefully.|We count points, not enthusiasm. {ask}|show me the calculation before claiming victory.
S196|I set my completed task beside the entry form.|My place is right there in the work. {ask}|I volunteer for the difficult demonstration.|I'll show you why my name belongs on the list. {ask}|judge my result before asking who invited me.
S197|I circle the familiar move in your winning plan.|Good. My lesson finally landed. {ask}|I imitate the technique I claim to have taught.|A victory for the method I gave you. {ask}|remember whose drill taught you that winning move.
S198|I hold the prize box without opening it.|Winning still depends on what I put in here. {ask}|I move the deadline marker an inch.|Quiet work, deciding what the result costs. {ask}|agree on my conditions before reaching for the reward.
S199|I bring out our old matching wristbands.|We used to know the same winning rhythm. {ask}|I tap the signal from our first joint victory.|That still means I've got your back. {ask}|try our old double act for one more round.
S200|I put last year's withdrawn entry beside yours.|I stepped aside once. It bought me a turn. {ask}|I show the empty space where my opportunity was.|That was my chance I gave you. {ask}|give me first choice this time.
S201|I move the easy piece toward you and sigh.|Another small advantage I won't mention again. {ask}|I start fixing the obstacle before you reach it.|Your smooth road takes a lot of my work. {ask}|notice who's moving the hurdles out of your way.
S202|I add 'one favour' beside your latest point.|Congratulations. That changes what you owe me. {ask}|I turn an old loss into a fresh IOU.|The score carries forward in favours. {ask}|pay back the turn you won off me yesterday.
S203|I put the trophy away before the contest ends.|It won't mean anything without you still playing. {ask}|I move the finish line farther from both of us.|We've got a better rivalry than a result. {ask}|stay for one harder round before I accept the prize.
S204|I unfold the unfinished score from years ago.|We've still never settled that last point. {ask}|I put the old disputed coin between us.|This isn't a new game until that one ends. {ask}|replay the turn that neither of us accepted.
S205|I copy the easy smile in your winner's photograph.|I'll look that relaxed when mine is bigger. {ask}|I practise holding the cup more casually than you.|Winning should at least look effortless. {ask}|watch me beat that score without breaking a sweat.
S206|I display the old leaderboard beside today's.|This is the one that tells the whole story. {ask}|I wear the jacket from my best season.|I still know the way to first place. {ask}|give me the conditions we used when I was ahead.
S207|I erase the number two beside my name.|You can still see me from there, right? {ask}|I place my smaller medal under the brightest light.|Second doesn't mean absent. {ask}|say what I contributed before moving on to the winner.
S208|I put my repair bill beside your risky plan.|Your gamble lands on my account. {ask}|I circle the cost that comes out of my pocket.|I want a voice in risks I end up paying for. {ask}|let me approve the choice before I carry its consequences.
S209|I add another completed job beneath my place card.|That's another reason to keep a seat for me. {ask}|I volunteer before my name can be crossed out.|I can still make myself worth the space. {ask}|leave me on the list for the next project.
S210|I put the bandage beside the trophy.|The trophy doesn't show what it took. {ask}|I add the sleepless hours beneath my score.|Read the cost as well as the result. {ask}|mention what I gave up to finish first.
S211|I stop the next round to arrange the presentation.|The result isn't finished until it's recognized properly. {ask}|I place a tiny podium between our chairs.|Even a small win needs its ceremony. {ask}|read the winner's name before starting again.
S212|I draw a dramatic line beneath two sandwich choices.|One choice. No return to lunch as we knew it. {ask}|I take a breath before moving one game piece.|This could eliminate my entire future. {ask}|choose carefully before the last possible move.
S213|I add a new prize after losing the old one.|Now the comeback is worth watching. {ask}|I raise the score target with genuine delight.|A loss has earned us a better challenge. {ask}|try again with something bigger to win.
S214|I turn the trophy over to look for its price.|Who gets the benefit and who gets the bill? {ask}|I put the reward beside tomorrow's duty roster.|And what does victory require on Monday? {ask}|explain what actually changes for the winner.
S215|I circle a single disputed point.|The rest of the score can wait. This one decides it. {ask}|I protect one tiny advantage on the board.|This square is the entire match now. {ask}|settle the half-point before discussing anything else.
S216|I connect a lunch choice to my sprawling scorechart.|Lunch is another move in the larger tournament. {ask}|I move an unexpected visitor's name onto the board.|A new contender pretending to deliver parcels. {ask}|tell me who gains from this apparently ordinary choice.
S217|I write 'approved for now' in large letters.|Pay attention to the last two words. {ask}|I leave one condition in tiny print.|My ruling stands within the definition I choose. {ask}|follow this decision until I clarify what it meant.
S218|I turn the unsigned form toward the other chair.|Without that mark, I might be answering to you. {ask}|I cover a missing initial with my thumb.|Everything stays as it is while we overlook this. {ask}|tell me whose authority that missing signature would create.
S219|I explain the whole diagram except the red circle.|Everything outside that circle is elementary. {ask}|I confidently turn the problem page upside down.|We won't need that section yet. {ask}|ask about any part except the little red mechanism.
S220|I put a photograph in the wrong display frame.|You've changed where we keep our first victory. {ask}|I confidently tell an almost familiar anecdote.|The details have obviously evolved since I was here. {ask}|show me where you moved the cupboard I remember.
S221|I cross out my failed demonstration and smile.|Excellent, you've discovered the real lesson. {ask}|I applaud a correction to my instructions.|That was the test I hoped you'd pass. {ask}|explain what you learned by improving my method.
S222|I place a sealed favour note beneath my cup.|We haven't discussed everything I could ask yet. {ask}|I begin to open an envelope, then put it aside.|Let's let your explanation settle first. {ask}|make your offer before I mention what you're forgetting.
S223|I place our old picnic photo between us.|Once that meant kindness. Today it looks like a warning. {ask}|I turn the same photograph toward the door.|Funny how the smile changes without the picture changing. {ask}|tell that same story from my side this time.
S224|I cross out your IOU and start one for myself.|You refusing my help has somehow made me owe you. {ask}|I pass a favour note back with the names reversed.|There, the debt has changed hands again. {ask}|say who owes whom after this latest kindness.
S225|I exchange our cups and take the usual listening chair.|Your turn to fix things; I'll be the worried one. {ask}|I take back the apron I handed over a minute ago.|We've reached this part again. Swap. {ask}|do my usual job while I try yours.
S226|I borrow the confident pose I was criticizing.|Apparently this is how winners stand now. {ask}|I adopt the same fussy precision I mocked.|If neatness wins, I'll become neater than you. {ask}|judge me on the quality I just borrowed.
S227|I hand you the key but keep a backup ready.|I trust you while that blue light stays off. {ask}|I pull the trusted letter away at a familiar phrase.|That word changes what I'm willing to rely on. {ask}|explain the condition we used to avoid saying aloud.
S228|I add a new note to the unopened incident file.|That makes the same afternoon worse in a new way. {ask}|I turn the old apology around without opening it.|I thought I knew what this was apologizing for. {ask}|tell me where this new detail fits into that day.
S229|I take a compliment down as a new target.|Good at it? Then I have to be better by tomorrow. {ask}|I move my standard above the praise just received.|That's the new minimum, apparently. {ask}|watch one more attempt before deciding I'm impressive.
S230|I turn my childhood photograph toward the decision.|That version of me would be furious. {ask}|I sign while covering my younger face in the photo.|Just this once, I'm disappointing the old me on purpose. {ask}|tell me which choice I would once have been proud of.
S231|I inspect the reassuring note for a hidden second page.|Too good. The bad part has learned manners. {ask}|I prepare a backup plan after the all-clear.|An all-clear gives danger somewhere new to hide. {ask}|check what this good news might be distracting us from.
S232|I take the difficult job and hold it tightly.|I can keep you safe while you still need me. {ask}|I hover beside the task you might manage alone.|I'd be steadier if you needed another hand. {ask}|leave me one part of the rescue to handle.
S233|I change my badge to match the new welcome rule.|This is the version of me you invited, right? {ask}|I defend the costume I put on moments ago.|I can't change again; I've just become this person. {ask}|tell me which version gets to stay.
S234|I tuck my signature beneath the finished repair.|Nothing special. My initials just happen to be there. {ask}|I leave dated evidence beside my modest shrug.|It practically solved itself, after my six calls. {ask}|look at the little dates before praising the result.
S235|I tap the cup twice before making the request.|First it was luck. Today it's how I remember. {ask}|I repeat the unexplained gesture more tenderly.|Same gesture. It means something else this time. {ask}|give me a moment to finish our unexplained little signal.
S236|I circle the first tiny crack on the old sketch.|It warned us at the beginning; we just called it decoration. {ask}|I place today's larger break beside yesterday's note.|Same shape, much bigger cost. {ask}|look at the earliest warning before fixing the latest damage.
S237|I change the victory sign without lowering it.|A reversal! Exactly the surprise I hoped to win. {ask}|I toast the opposite result with the same enthusiasm.|I wanted that as well, in a deeper sense. {ask}|celebrate this version of success with me too.
S238|I add another figure beside the first repair bill.|We're still paying for that first loose screw. {ask}|I bring back the same little bucket, now overflowing.|Every twist still drips in here. {ask}|deal with the original leak before announcing another miracle.
S239|I turn the gifted key into a piece of evidence.|Yesterday a welcome. Today proof I could get in. {ask}|I put the same key between us as an offer.|It could still be an invitation instead of an accusation. {ask}|tell me what this key means between us now.
S240|I repeat our old greeting without its familiar smile.|'Make yourself at home' used to feel different. {ask}|I repeat the same greeting softly and slide over a cup.|Let's try making those words kind again. {ask}|say the old phrase once as though we've made up.
