# ID|action 1|spoken request 1|action 2|spoken request 2
D199|I offer my team's ribbon without mentioning the final stake.|join my side before we get into the complicated terms.|I leave a place beside my name on the entry sheet.|back me for this round; we'll explain the cost afterward.
D200|I move a larger prize beside the old wager.|put something more important on the line so this settles it.|I cross out the safe penalty.|accept a real consequence instead of another harmless practice round.
D201|I place my worn tools beside the team trophy.|name exactly what my work added to this result.|I show the section I finished alone.|say which part would be missing without my effort.
D202|I put two rewards on opposite sides of the table.|pick the prize or the promise; we can't keep both.|I offer the winning ticket beside our shared photograph.|choose which matters more before you collect the reward.
D203|I point to the disadvantage beside my request.|give up your first turn for me, even if it costs you points.|I place my small problem across your best opportunity.|take a real loss on my behalf so I know where we stand.
D204|I circle just one disputed point.|concede this point without reopening the whole contest.|I hold out a small claim cut from the larger argument.|let this one advantage go and keep the rest of your position.
D205|I hide the altered rule beneath the scoreboard.|the result looks fair from here; let's not inspect my earlier adjustment.|I quietly remove the weight I added to the scale.|judge the outcome, not the setup I helped arrange.
D206|I place the next-round schedule over the losing score.|let's discuss preparation, not who lost.|I turn the result facedown and offer a pen.|focus on how hard we tried rather than the final number.
D207|I hide the harder challenge behind the easy one.|a clean win; no need to inspect the unused obstacles.|I keep my best piece in my pocket.|you earned the confidence, whatever I chose not to play.
D208|I keep my own prize preference folded shut.|tell me which outcome you secretly hoped for.|I show two possible endings without choosing.|which result would have made you happiest, honestly?
D209|I mark the lost round as training expenditure.|we paid for information that wins the next round.|I turn the penalty into a future-plan note.|this defeat bought us a better position later.
D210|I turn the unfamiliar rulebook facedown confidently.|I know this system; watch how I choose the next move.|I study a clue while pretending to check a known formula.|exactly the odds I expected; the clever move comes next.
D211|I draw a new starting line under the tied score.|a tie needs a rematch, and this time the loser cleans up.|I add a rule and a penalty to the equal result.|we settle this again with a cost neither of us can ignore.
D212|I smile while pinning up another loss.|the comeback story just acquired a better opening.|I add a hopeful arrow beyond the bad score.|each setback will make the win worth more when it arrives.
D213|I applaud with a jaw-tight smile.|a lovely victory; some people get remarkably favourable circumstances.|I polish the winner's trophy a little too hard.|delighted for you; I'll be ready when it's actually difficult.
D214|I put a reward and penalty beside a simple request.|I'll help if success buys dinner and failure buys my time back.|I price a favour with a small token.|nothing without stakes; what do I win by agreeing?
D215|I redraw the fair-start line closer to me.|equal chance means accounting for how badly I need to win.|I accept a rule after adding my private exception.|that's fair once we compensate for my particular disadvantage.
D216|I add another consequence beneath a small choice.|pick carefully; this now decides tomorrow's budget too.|I move our score where more people can see it.|the next point will settle the prize and our reputation.
D217|I watch how the offered help is arranged.|carry this with me like a partner, not like you're rescuing a child.|I leave two names beside the task.|help me in a way that makes us equals this time.
D218|I return to the first unfinished cup.|I said wait for the tea; I meant wait until I could say goodbye.|I point to the original reason written by the door.|the key wasn't what I needed back; it was the reason to see you.
D219|I unfold a second page beneath the apology.|thank you; now explain why I had to beg for that first sentence.|I move from the missed event to the old invitation.|the absence hurt, but the promise before it hurt more.
D220|I reveal the second page after a small approval.|since you've approved the spare chair, here's the full committee it seats.|I open the harmless envelope wider.|yes to one small gathering includes the reunion I haven't announced yet.
D221|I bring back the offer you made earlier.|when you said you'd take it from here, this box was the it.|I put the unfinished task beneath the old agreement.|we assigned this when you volunteered to finish the last detail.
D222|I circle everything around one blank name.|who arrived before the person you haven't mentioned?|I list the room, time, and extra cup.|tell me why two cups were out without naming the guest yet.
D223|I turn over the recruitment banner.|you joined the cleanup; now here's what we're really cleaning out.|I reveal another side to the invitation.|our side isn't against them; it's against the plan we both signed.
D224|I offer the small cancellation fee before the risky trip.|pay the deposit first; then backing out becomes the difficult choice.|I place the first consequence where the first action should be.|accept this small cost and the big step will already be underway.
D225|I bring the overlooked first sketch back beside the solution.|remember this tiny suggestion before claiming the final design.|I point to my old pencil mark.|that mark is what kept everything else from collapsing.
D226|I put the old promise beside two new choices.|choose the trip, and that old promise becomes a goodbye.|I reopen the earlier agreement while offering an alternative.|pick this now, and yesterday's refusal turns into permission.
D227|I offer a commitment form with my own signature missing.|sign if you're serious; I haven't decided how serious I can afford to be.|I start a loyalty challenge, then protect my own stake.|take that risk for me while I keep this one thing safe.
D228|I ask for one tiny item from the defended pile.|give me that spare key; then we can discuss why I can't use the door.|I underline the small concession just granted.|if that exception is fair, the larger one follows the same rule.
D229|I return the harmless ribbon to the centre.|remember this ribbon? Blame the whole arrangement, not who tied it.|I point to the innocent cup from the opening.|every problem started with that cup, not my hand beside it.
D230|I answer an old, harmless question with fresh sincerity.|about the weather you asked earlier: yes, it was raining.|I return to the safe first line on the form.|before your question about my mistake, let me finish discussing lunch.
D231|I reveal the first of several folded pages.|there was a small change; I'll explain how small once you're ready.|I add one gentler detail to the earlier account.|when I said postponed, I meant the original event won't return unchanged.
D232|I offer half my signed admission.|I changed the time; yours is the only missing piece of the story now.|I place my small confession beside an empty page.|I hid the first letter. What happened to the second?
D233|I connect the failed result to an earlier odd detail.|that strange noise was the turning point, not a warning I missed.|I display the old sketch beside today's collapse.|the ending was foreshadowed here; the plan needed this reversal.
D234|I underline my vaguest earlier sentence.|when I said 'a change', I obviously meant this precise disaster.|I turn a wrong prediction toward the light.|read it metaphorically and you'll see I was right.
D235|I rename the losing column 'restraint'.|fewest points means greatest self-control; I've won that category.|I take the smaller trophy with exaggerated pride.|size measures insecurity now, so this is the better prize.
D236|I bring back the small hopeful drawing.|we wanted a place to belong; even this wreck can become that.|I point to the first promise above the latest setback.|we're still making that hope real, just in a larger shape.
D237|I wrap the extra cup with increasing care.|take this for whenever you remember these afternoons.|I straighten your coat with a warm, final smile.|you'll do beautifully wherever the next door opens.
D238|I write two prices beneath the favour.|the lift costs petrol and the conversation we've been avoiding.|I put a small bill beside our photograph.|pay for the repair in money, and for the silence in honesty.
D239|I bring the exact old sentence back.|I promised to carry a box, not whichever box you point at forever.|I underline the word 'today' in the agreement.|yes, I said today; tomorrow wasn't included in those words.
D240|I place the first cup, note, and key together.|every little choice has brought us to this locked door.|I return the opening joke as a serious question.|remember saying nothing could go wrong? Look at what we're carrying now.
